profile_id,user_id,farmer_id_external,agristack_id,aadhaar_token,district_id,taluka_id,village_id,kyc_status,crop_history
47,137,FARM000047,AGR000047,8acc71bd-12e6-433c-8af7-a4be7ae90a25,2,12,74,REJECTED,"Soybean,Bajra,Cotton"
48,138,FARM000048,AGR000048,0c2c8cc9-d6c0-44f7-a57b-063253849939,3,40,263,PENDING,"Soybean,Bajra,Cotton"
49,139,FARM000049,AGR000049,3df47ba7-dba2-4043-acbd-8a5e45540919,2,33,403,PENDING,"Soybean,Bajra,Cotton"
50,140,FARM000050,AGR000050,57909bdc-0e1e-451a-bca0-b278c9b287e9,1,5,436,VERIFIED,"Soybean,Bajra,Cotton"
51,141,FARM000051,AGR000051,1d746e2a-a113-4ce8-880d-8b7802916634,2,33,288,REJECTED,"Soybean,Bajra,Cotton"
52,142,FARM000052,AGR000052,d7990568-bf62-4ac2-b7e0-3c48c979aab5,2,4,339,REJECTED,"Soybean,Bajra,Cotton"
53,143,FARM000053,AGR000053,f329f6e3-b53d-4ceb-903e-70dc51a975f3,5,30,204,REJECTED,"Soybean,Bajra,Cotton"
54,144,FARM000054,AGR000054,b3f9a098-1537-48e1-b023-4b108de8e585,1,36,382,VERIFIED,"Soybean,Bajra,Cotton"
55,145,FARM000055,AGR000055,2e64df20-23d9-4fc0-af65-6c1c176829b4,1,12,425,REJECTED,"Soybean,Bajra,Cotton"
56,146,FARM000056,AGR000056,3e280d77-904d-4522-aa4f-e481764cdfa4,8,14,63,REJECTED,"Soybean,Bajra,Cotton"
57,147,FARM000057,AGR000057,dcb13d19-c3b9-4b13-8f4e-09f1710ca45f,4,28,57,REJECTED,"Soybean,Bajra,Cotton"
58,148,FARM000058,AGR000058,4ad7ff1b-7b30-4e55-b061-627b66b9f4c0,2,35,267,PENDING,"Soybean,Bajra,Cotton"
59,149,FARM000059,AGR000059,be718f48-c934-44dd-87a3-c802d3fbf3fd,2,6,374,VERIFIED,"Soybean,Bajra,Cotton"
60,150,FARM000060,AGR000060,d2964c6d-e970-45e1-998d-252aab836b1a,2,6,189,PENDING,"Soybean,Bajra,Cotton"
61,151,FARM000061,AGR000061,65c205b1-969a-4089-918a-4e5eb6f4ede5,5,20,391,PENDING,"Soybean,Bajra,Cotton"
62,152,FARM000062,AGR000062,b48a44db-360d-4a31-b7b5-e061a807c504,3,32,311,REJECTED,"Soybean,Bajra,Cotton"
63,153,FARM000063,AGR000063,cb459689-991e-442c-8efc-e152d2facaaf,6,13,4,VERIFIED,"Soybean,Bajra,Cotton"
64,154,FARM000064,AGR000064,ef6f5780-8945-49cf-a603-a15226a8f7d4,2,3,59,REJECTED,"Soybean,Bajra,Cotton"
65,155,FARM000065,AGR000065,4af37c1d-55d4-49fa-b5d2-e7a4a6117308,4,34,198,PENDING,"Soybean,Bajra,Cotton"
66,156,FARM000066,AGR000066,88d4df38-f267-4e78-a9e6-6309b05b27d1,7,40,295,REJECTED,"Soybean,Bajra,Cotton"
67,157,FARM000067,AGR000067,a4e12103-8be4-4500-a105-6b212167c670,4,6,468,VERIFIED,"Soybean,Bajra,Cotton"
68,158,FARM000068,AGR000068,a73d8b93-0973-4025-9dc5-0bab61ff2fb4,1,2,344,REJECTED,"Soybean,Bajra,Cotton"
69,159,FARM000069,AGR000069,d96d33bb-230a-463f-af59-2674d3567bd0,3,28,411,VERIFIED,"Soybean,Bajra,Cotton"
70,160,FARM000070,AGR000070,ea80130a-02cd-4638-9e71-1f4803923e90,3,40,151,PENDING,"Soybean,Bajra,Cotton"
71,161,FARM000071,AGR000071,be6bc3ab-000d-47be-9851-805cf6481eec,5,9,130,PENDING,"Soybean,Bajra,Cotton"
72,162,FARM000072,AGR000072,49590452-7051-494a-bd92-1c0f7166ec86,6,2,167,PENDING,"Soybean,Bajra,Cotton"
73,163,FARM000073,AGR000073,dceb217d-7191-4fe0-baa1-082b6f1a2ed0,2,11,227,VERIFIED,"Soybean,Bajra,Cotton"
74,164,FARM000074,AGR000074,58c4bdfb-468d-43ca-b93d-34e6ef765515,8,40,429,PENDING,"Soybean,Bajra,Cotton"
75,165,FARM000075,AGR000075,f6210499-041c-49f5-b58b-e35dc8f6e642,5,16,7,PENDING,"Soybean,Bajra,Cotton"
76,166,FARM000076,AGR000076,855a1fc3-4cc6-499c-8696-18ef3b03c728,1,22,119,REJECTED,"Soybean,Bajra,Cotton"
77,167,FARM000077,AGR000077,ecb55ae9-34ba-4ad2-83dc-722457451647,6,22,1,VERIFIED,"Soybean,Bajra,Cotton"
78,168,FARM000078,AGR000078,7e510d26-0a95-4781-ad4d-d7ea2fe959e5,6,6,273,VERIFIED,"Soybean,Bajra,Cotton"
79,169,FARM000079,AGR000079,1417d200-7abc-4f5e-8f84-4dcc8baae36c,2,3,423,PENDING,"Soybean,Bajra,Cotton"
80,170,FARM000080,AGR000080,25ef7650-82bb-44a7-a539-bf261aa511dd,7,22,188,VERIFIED,"Soybean,Bajra,Cotton"
81,171,FARM000081,AGR000081,2b1e9135-959c-47a1-a8ae-bc5d8fbe6080,2,30,83,VERIFIED,"Soybean,Bajra,Cotton"
82,172,FARM000082,AGR000082,5ea6165a-e832-4f72-95bb-5b1f5e0115bc,1,35,126,PENDING,"Soybean,Bajra,Cotton"
83,173,FARM000083,AGR000083,a6318eff-5896-4a2c-9e5a-711a19500ea1,2,14,112,PENDING,"Soybean,Bajra,Cotton"
84,174,FARM000084,AGR000084,1f33e1d9-166d-496d-87fc-838eaa15e9df,1,17,221,REJECTED,"Soybean,Bajra,Cotton"
85,175,FARM000085,AGR000085,ad2a2234-5671-44dc-a3d9-e7af13ded628,2,12,313,PENDING,"Soybean,Bajra,Cotton"
86,176,FARM000086,AGR000086,32e6ddc6-1e82-412d-836e-8ea3c8ea59d5,3,19,386,PENDING,"Soybean,Bajra,Cotton"
87,177,FARM000087,AGR000087,9889f01f-92c7-4a33-8420-c1095a107f86,4,22,132,VERIFIED,"Soybean,Bajra,Cotton"
88,178,FARM000088,AGR000088,3d67d19c-2101-4b35-9832-95de2fcdc458,2,14,329,PENDING,"Soybean,Bajra,Cotton"
89,179,FARM000089,AGR000089,54fdd550-4e06-402e-864c-3c9dcdd20a64,3,5,307,VERIFIED,"Soybean,Bajra,Cotton"
90,180,FARM000090,AGR000090,3ade3755-89b1-4aba-b6eb-ec861973dc11,7,20,40,VERIFIED,"Soybean,Bajra,Cotton"
91,181,FARM000091,AGR000091,9c63b74a-f192-4d32-a3f5-b4f515e6faa4,2,35,8,VERIFIED,"Soybean,Bajra,Cotton"
92,182,FARM000092,AGR000092,35a97cbb-5c96-4c3c-9639-81105e21f45b,6,5,73,REJECTED,"Soybean,Bajra,Cotton"
93,183,FARM000093,AGR000093,2f9eb3d1-861f-4eed-a808-c92aad53346b,2,32,332,REJECTED,"Soybean,Bajra,Cotton"
94,184,FARM000094,AGR000094,9cc8e4d5-8422-4a6c-8ccd-a37f0c1199f8,5,29,92,VERIFIED,"Soybean,Bajra,Cotton"
95,185,FARM000095,AGR000095,a0407fa3-cfae-4d48-b334-5eb78c7afecb,5,20,203,PENDING,"Soybean,Bajra,Cotton"
96,186,FARM000096,AGR000096,194eae04-1fe3-47a0-a238-8b1cbd8a0a56,3,29,373,VERIFIED,"Soybean,Bajra,Cotton"
97,187,FARM000097,AGR000097,f2d26b65-a584-46b4-b27c-d6f3230c2326,8,22,166,VERIFIED,"Soybean,Bajra,Cotton"
98,188,FARM000098,AGR000098,db7a3a36-9a7e-462b-9437-389f88ad9d17,1,25,425,VERIFIED,"Soybean,Bajra,Cotton"
99,189,FARM000099,AGR000099,7b1e2b40-1e5c-499e-84a0-27ee79f090e6,2,14,412,PENDING,"Soybean,Bajra,Cotton"
100,190,FARM000100,AGR000100,f1fa7da3-7e82-487a-8d62-7bf7e575a35f,6,18,320,VERIFIED,"Soybean,Bajra,Cotton"
101,191,FARM000101,AGR000101,77a853d8-9385-4dcb-bed5-6d1b1f180b97,4,5,464,VERIFIED,"Soybean,Bajra,Cotton"
102,192,FARM000102,AGR000102,7b002628-0ae2-42a8-86e9-27ec1f50dcb9,3,38,160,REJECTED,"Soybean,Bajra,Cotton"
103,193,FARM000103,AGR000103,293da3a2-3e43-4659-be1a-828e708a0053,5,12,24,VERIFIED,"Soybean,Bajra,Cotton"
104,194,FARM000104,AGR000104,f15aa310-ae7f-4918-ae1f-8da9debff40b,8,7,429,VERIFIED,"Soybean,Bajra,Cotton"
105,195,FARM000105,AGR000105,654cae59-4e1f-49db-9d83-bf1c3c1af532,7,17,334,VERIFIED,"Soybean,Bajra,Cotton"
106,196,FARM000106,AGR000106,dfcdce9a-39ee-4ca4-9085-101ac1be980e,4,4,34,PENDING,"Soybean,Bajra,Cotton"
107,197,FARM000107,AGR000107,b2f76489-6b1d-41c8-8f1c-41066f721863,1,18,437,VERIFIED,"Soybean,Bajra,Cotton"
108,198,FARM000108,AGR000108,9e53160f-073f-47da-b572-1fa080578caa,6,24,278,REJECTED,"Soybean,Bajra,Cotton"
109,199,FARM000109,AGR000109,ef02b83e-77ec-44b0-9323-bac69339ba17,3,9,190,REJECTED,"Soybean,Bajra,Cotton"
110,200,FARM000110,AGR000110,c829a252-df85-4f31-ba74-55df131d3404,5,24,188,VERIFIED,"Soybean,Bajra,Cotton"
111,201,FARM000111,AGR000111,1b5bf8eb-d64d-4b5b-a2a4-b3992582ba35,2,16,466,VERIFIED,"Soybean,Bajra,Cotton"
112,202,FARM000112,AGR000112,66d2071f-d553-4c44-af89-53581e9acad8,5,25,478,VERIFIED,"Soybean,Bajra,Cotton"
113,203,FARM000113,AGR000113,fa7a16cf-eb37-4e05-a4cb-c2b64d6e7587,4,13,454,VERIFIED,"Soybean,Bajra,Cotton"
114,204,FARM000114,AGR000114,3601f36d-cc8b-4cd7-a9c3-0416b3d23557,7,24,124,REJECTED,"Soybean,Bajra,Cotton"
115,205,FARM000115,AGR000115,626cd7d7-b103-4ca7-b296-1fcfe39a0129,8,17,446,VERIFIED,"Soybean,Bajra,Cotton"
116,206,FARM000116,AGR000116,d0be5406-1e1e-4597-9c9d-5e4d65ed1dbf,1,7,340,PENDING,"Soybean,Bajra,Cotton"
117,207,FARM000117,AGR000117,e8e4e935-1b37-402a-8733-9593d5854e92,6,16,145,VERIFIED,"Soybean,Bajra,Cotton"
118,208,FARM000118,AGR000118,c34d7d61-76fd-46b7-8d09-4cd951088e9f,8,29,250,VERIFIED,"Soybean,Bajra,Cotton"
119,209,FARM000119,AGR000119,a87a92bb-5e35-4d34-a006-2cb2dd629b00,2,30,285,REJECTED,"Soybean,Bajra,Cotton"
120,210,FARM000120,AGR000120,1235f4f3-0c2e-4978-9467-271c2c5541d7,8,6,208,VERIFIED,"Soybean,Bajra,Cotton"
121,211,FARM000121,AGR000121,0500a83c-0b1e-4850-a36f-c48adec96fde,8,31,473,VERIFIED,"Soybean,Bajra,Cotton"
122,212,FARM000122,AGR000122,80e2f912-eca3-4065-9cdf-e4eea2724cf3,4,28,226,VERIFIED,"Soybean,Bajra,Cotton"
123,213,FARM000123,AGR000123,0fd3c8cf-7692-4d64-b149-e050ae2c59f6,2,13,35,PENDING,"Soybean,Bajra,Cotton"
124,214,FARM000124,AGR000124,8684d4c1-6970-4399-bd2f-0e791a291566,6,29,241,VERIFIED,"Soybean,Bajra,Cotton"
125,215,FARM000125,AGR000125,ab148efa-68f8-4b7b-8e48-594c7d72229b,6,36,30,VERIFIED,"Soybean,Bajra,Cotton"
126,216,FARM000126,AGR000126,b248c200-e2f8-42a0-b72b-68340fc6b246,4,31,382,VERIFIED,"Soybean,Bajra,Cotton"
127,217,FARM000127,AGR000127,ee826bb5-5cb4-4bb7-b6b1-8895ce8e1dcb,7,8,31,PENDING,"Soybean,Bajra,Cotton"
128,218,FARM000128,AGR000128,982eed82-da52-43be-ba0a-2a034587f2eb,1,16,268,VERIFIED,"Soybean,Bajra,Cotton"
129,219,FARM000129,AGR000129,61d575e2-c921-41e5-94ba-75551ea922be,6,14,52,VERIFIED,"Soybean,Bajra,Cotton"
130,220,FARM000130,AGR000130,f0da26fe-7349-4baf-b0db-c8ab36bd1fa3,8,17,240,PENDING,"Soybean,Bajra,Cotton"
131,221,FARM000131,AGR000131,2349a766-e6b8-4f7a-982a-ba6f8c90c9d5,3,5,414,PENDING,"Soybean,Bajra,Cotton"
132,222,FARM000132,AGR000132,bd419a40-32e8-43c0-b848-76f507f9a86d,6,7,106,PENDING,"Soybean,Bajra,Cotton"
133,223,FARM000133,AGR000133,f5a01a54-c23e-4194-9fd8-32aaae8baef2,6,5,62,REJECTED,"Soybean,Bajra,Cotton"
134,224,FARM000134,AGR000134,8634e52a-8ab5-40f3-986c-ca06e48268a6,8,31,132,VERIFIED,"Soybean,Bajra,Cotton"
135,225,FARM000135,AGR000135,02532cca-a293-407d-8c83-3654437783a9,1,33,463,VERIFIED,"Soybean,Bajra,Cotton"
136,226,FARM000136,AGR000136,29ca9e29-312c-4e9c-bad3-f8bb14f64c33,8,3,276,REJECTED,"Soybean,Bajra,Cotton"
137,227,FARM000137,AGR000137,a6614e7c-5825-4096-b1e5-324ca0e8df12,4,32,341,REJECTED,"Soybean,Bajra,Cotton"
138,228,FARM000138,AGR000138,74ae06e6-1601-4dd2-adf3-49ecdd6da6d4,3,24,75,PENDING,"Soybean,Bajra,Cotton"
139,229,FARM000139,AGR000139,11f6ae54-da46-43e4-8204-83841be705f4,6,3,439,PENDING,"Soybean,Bajra,Cotton"
140,230,FARM000140,AGR000140,d4be82b6-f62b-4f18-b289-d7a4d423c1bd,3,15,9,REJECTED,"Soybean,Bajra,Cotton"
141,231,FARM000141,AGR000141,688fcd1b-a7c0-43da-af0e-a16709f15b67,8,6,231,VERIFIED,"Soybean,Bajra,Cotton"
142,232,FARM000142,AGR000142,0e9366f7-6542-46b2-a593-14b0fe1345d7,1,19,225,VERIFIED,"Soybean,Bajra,Cotton"
143,233,FARM000143,AGR000143,0b2cbe21-2124-414e-ab30-a34d479efbad,4,20,384,PENDING,"Soybean,Bajra,Cotton"
144,234,FARM000144,AGR000144,cee32fe5-ff9e-4ca8-9757-875d3e4cffb0,4,5,206,VERIFIED,"Soybean,Bajra,Cotton"
145,235,FARM000145,AGR000145,6d38db86-164d-4516-b197-364ee6197282,3,1,185,PENDING,"Soybean,Bajra,Cotton"
146,236,FARM000146,AGR000146,cf0ad30c-32d2-42eb-beb1-cfe80c7f50ef,4,5,245,PENDING,"Soybean,Bajra,Cotton"
147,237,FARM000147,AGR000147,f52c4406-95a8-4052-9bbf-18478b8f909f,8,14,319,VERIFIED,"Soybean,Bajra,Cotton"
148,238,FARM000148,AGR000148,ade57670-21b9-460f-ae07-9ad3517d7be5,4,31,104,PENDING,"Soybean,Bajra,Cotton"
149,239,FARM000149,AGR000149,6c099e33-d111-43ef-9051-865a1c70f48c,8,18,116,PENDING,"Soybean,Bajra,Cotton"
150,240,FARM000150,AGR000150,bcbe86be-9578-45ae-b97e-f39d925583f2,1,27,91,PENDING,"Soybean,Bajra,Cotton"
151,241,FARM000151,AGR000151,6c98d818-3ab3-4157-99f4-fb3bca756136,7,2,292,PENDING,"Soybean,Bajra,Cotton"
152,242,FARM000152,AGR000152,55bde8aa-7d12-4024-a1f7-d18743994ea9,3,16,424,VERIFIED,"Soybean,Bajra,Cotton"
153,243,FARM000153,AGR000153,216311b9-66be-49e7-a0ea-cb8e9d3f4019,3,39,416,PENDING,"Soybean,Bajra,Cotton"
154,244,FARM000154,AGR000154,56e976f5-4c5b-478b-9acf-ab4f556c6fb3,8,31,288,REJECTED,"Soybean,Bajra,Cotton"
155,245,FARM000155,AGR000155,553283a7-c72c-441f-92c8-de6d8b9be048,7,9,134,VERIFIED,"Soybean,Bajra,Cotton"
156,246,FARM000156,AGR000156,40112346-8a5b-4e95-9eca-ca78dc48886f,2,18,214,VERIFIED,"Soybean,Bajra,Cotton"
157,247,FARM000157,AGR000157,3e92d838-dbce-4bdf-8647-be4c02462343,3,34,70,REJECTED,"Soybean,Bajra,Cotton"
158,248,FARM000158,AGR000158,346dd22c-151f-4d78-9298-a14b721e8856,6,4,86,VERIFIED,"Soybean,Bajra,Cotton"
159,249,FARM000159,AGR000159,e30b2ca3-f3ab-482f-be1f-759b332381d8,7,11,42,REJECTED,"Soybean,Bajra,Cotton"
160,250,FARM000160,AGR000160,a6e75456-6364-42c3-b65b-8486b77781f9,8,27,130,REJECTED,"Soybean,Bajra,Cotton"
161,251,FARM000161,AGR000161,46a5f8ab-c1e8-4d27-9548-7bacb1843fad,4,10,382,PENDING,"Soybean,Bajra,Cotton"
162,252,FARM000162,AGR000162,4775b58d-a982-4143-b886-eb4be6a9c141,7,7,27,PENDING,"Soybean,Bajra,Cotton"
163,253,FARM000163,AGR000163,85d8ef49-ed82-4491-b650-5e29522dd44a,2,2,463,PENDING,"Soybean,Bajra,Cotton"
164,254,FARM000164,AGR000164,128539a1-0fcf-4bc8-8a6e-197431360a20,2,19,386,VERIFIED,"Soybean,Bajra,Cotton"
165,255,FARM000165,AGR000165,13010e60-e349-42de-827c-78f72d1ec6ec,3,27,38,REJECTED,"Soybean,Bajra,Cotton"
166,256,FARM000166,AGR000166,a6f1df6a-a3f6-47ac-929a-1ad780e355cc,7,20,414,REJECTED,"Soybean,Bajra,Cotton"
167,257,FARM000167,AGR000167,e2e971c5-1f74-48be-9780-95628e22941b,2,29,125,PENDING,"Soybean,Bajra,Cotton"
168,258,FARM000168,AGR000168,4b18cbbd-0b85-474c-9628-ed9f99d8685e,6,34,286,VERIFIED,"Soybean,Bajra,Cotton"
169,259,FARM000169,AGR000169,e744672c-4ea5-41cd-b494-9df8073cf850,7,5,304,PENDING,"Soybean,Bajra,Cotton"
170,260,FARM000170,AGR000170,615bb30b-651a-4aa8-a68f-047dd2a16e03,7,12,441,REJECTED,"Soybean,Bajra,Cotton"
171,261,FARM000171,AGR000171,83ac9208-3179-4a17-abe2-1db435730841,5,16,211,PENDING,"Soybean,Bajra,Cotton"
172,262,FARM000172,AGR000172,19f681fa-fe4e-4ed1-859f-35af5a5627d0,5,5,359,REJECTED,"Soybean,Bajra,Cotton"
173,263,FARM000173,AGR000173,bf81004c-d6dc-4e84-a3e2-a3c8d9760171,1,40,350,PENDING,"Soybean,Bajra,Cotton"
174,264,FARM000174,AGR000174,2c0f1c05-29dd-485d-bfd8-2d3c3c76d43d,4,21,410,VERIFIED,"Soybean,Bajra,Cotton"
175,265,FARM000175,AGR000175,21aee284-507b-42d2-959d-8775d3de4b59,8,31,175,REJECTED,"Soybean,Bajra,Cotton"
176,266,FARM000176,AGR000176,8d82e802-fa01-4e4a-a758-9d948388a7c8,3,30,167,VERIFIED,"Soybean,Bajra,Cotton"
177,267,FARM000177,AGR000177,2bf15185-356a-412c-b001-6b70e635e0a8,7,6,107,REJECTED,"Soybean,Bajra,Cotton"
178,268,FARM000178,AGR000178,a368a7c8-55a4-4423-b728-b3996eb0b01a,7,26,69,REJECTED,"Soybean,Bajra,Cotton"
179,269,FARM000179,AGR000179,f431f848-c063-4c2e-a580-04683cbf9114,4,24,377,REJECTED,"Soybean,Bajra,Cotton"
180,270,FARM000180,AGR000180,fedd8543-768a-4403-b26b-37fad276e46c,6,25,340,PENDING,"Soybean,Bajra,Cotton"
181,271,FARM000181,AGR000181,c7e91d8d-d585-48fe-8f1c-d66f2cf0ceb3,6,9,114,REJECTED,"Soybean,Bajra,Cotton"
182,272,FARM000182,AGR000182,590ad3ff-66bf-4d39-8314-71ecdba30b10,4,18,58,VERIFIED,"Soybean,Bajra,Cotton"
183,273,FARM000183,AGR000183,16e1263b-642b-4664-89a7-e74aff52864b,3,26,316,PENDING,"Soybean,Bajra,Cotton"
184,274,FARM000184,AGR000184,890adc3a-0df5-4c56-81b9-62d7ff206203,2,31,299,PENDING,"Soybean,Bajra,Cotton"
185,275,FARM000185,AGR000185,14149b59-d825-4234-a16c-571e5838d405,6,37,278,PENDING,"Soybean,Bajra,Cotton"
186,276,FARM000186,AGR000186,f6f1d2a6-b0d2-4d20-8420-451cb2a2d654,6,28,162,VERIFIED,"Soybean,Bajra,Cotton"
187,277,FARM000187,AGR000187,067688ad-dc4a-42a2-b4c1-f527490b4ce9,8,2,347,REJECTED,"Soybean,Bajra,Cotton"
188,278,FARM000188,AGR000188,0d614687-01eb-432f-b3bc-7007750da65e,3,26,190,VERIFIED,"Soybean,Bajra,Cotton"
189,279,FARM000189,AGR000189,d53bccca-de70-44c1-893f-3cc5cec2ff00,5,36,329,VERIFIED,"Soybean,Bajra,Cotton"
190,280,FARM000190,AGR000190,09c2bead-b779-4178-8d8f-8c31bb012e7c,4,38,394,VERIFIED,"Soybean,Bajra,Cotton"
191,281,FARM000191,AGR000191,9ccc477b-7150-45b5-ad76-191d6532e342,6,20,333,PENDING,"Soybean,Bajra,Cotton"
192,282,FARM000192,AGR000192,04ed3eae-2549-46be-8143-18e9e7e71c2e,3,5,308,PENDING,"Soybean,Bajra,Cotton"
